Respondents,Datetime,Shopping_Frequency,Monthly_Spending,Goal,Factors,Unplanned_Item_Intention,Willingness_Amazon,Lack_Amazon,Willingness_Prada,Lack_Prada,interactivity_importantance,screendesign_importantance,trust/like,necessaties,personalized_design_intention,reconmandended_purchasing_intention,personalized_loc,age,Gender
27,2022/12/25,Only at sales,80 - 150,4,"Website Functionality Guidelines;Product presentation (mainly pictures and videos);Site search function;After-sales service (return and exchange service, etc.)",2,3,Don't want to read the text (too much info);Poor layout design,4,Lack of enough info;Poor layout design,3,4,4,4,4,2,"Product information page;When you filter or search, it will be shown in the filter called ""Recommended for you""",Under 18,Male
28,2022/12/25,Every Month,150 - 300,4,"Prices and events;Product presentation (mainly pictures and videos);After-sales service (return and exchange service, etc.);Consumer reviews and scores;Logistics",3,4,Don't want to read the text (too much info);No direct visual stimulation (e.g. images),2,Lack of enough info,4,4,3,4,4,3,"Product information page;My account page;When you filter or search, it will be shown in the filter called ""Recommended for you"";Your saved Items list",19 - 25,Male
29,2022/12/25,Every Season,30 - 80,5,"Prices and events;After-sales service (return and exchange service, etc.);Consumer reviews and scores;Logistics",4,2,Don't want to read the text (too much info);No direct visual stimulation (e.g. images),4,I am fine with it,5,5,4,4,3,3,Homepage;Product information page;Your saved Items list;At check out,19 - 25,Female
30,2022/12/25,Only at sales,0 - 30,1,Prices and events,1,1,its not sold by amazon.,1,price is too scared.,1,1,1,1,1,1,At check out,19 - 25,Male
31,2022/12/25,Every Month,80 - 150,3,Product presentation (mainly pictures and videos),4,2,No direct visual stimulation (e.g. images),4,Lack of enough info,2,4,5,4,3,3,Homepage,19 - 25,Female
32,2022/12/25,Every Month,30 - 80,5,Prices and events;Product presentation (mainly pictures and videos);Consumer reviews and scores,1,3,No direct visual stimulation (e.g. images),1,Lack of enough info,5,3,4,5,3,3,My account page;Your saved Items list,19 - 25,Prefer not to say
33,2022/12/25,Every Season,Above 300,4,Prices and events;Product presentation (text-based),2,4,I am fine with it,5,I am fine with it,2,2,2,2,2,2,Homepage,19 - 25,Male
34,2022/12/25,Every Week,Above 300,3,Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);Consumer reviews and scores,2,2,Don't want to read the text (too much info);Poor layout design,3,Lack of enough info,2,2,4,4,3,3,Product information page;Under each category's main page,19 - 25,Female
35,2022/12/25,Every Season,80 - 150,2,"Website Functionality Guidelines;Prices and events;Variety of payment options;Pre-sales service (contact the seller for product information, etc.)",2,2,Don't want to read the text (too much info);I am fine with it,4,Poor layout design,3,3,3,3,3,3,"When you filter or search, it will be shown in the filter called ""Recommended for you"";Your saved Items list",19 - 25,Prefer not to say
36,2022/12/25,Only at sales,80 - 150,4,"Website Functionality Guidelines;Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);Site search function;Pre-sales service (contact the seller for product information, etc.);After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores;Logistics",3,3,"Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Poor layout design;review system,  detail of the size chart, model information, product information",3,"Lack of enough info;review system,  detail of the size chart, model information, product information",5,4,4,4,4,4,"Homepage;Product information page;Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
37,2022/12/25,Only at sales,30 - 80,3,"Website Functionality Guidelines;Prices and events;After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores",3,4,I am fine with it,4,I am fine with it,4,4,1,4,1,3,"My account page;When you filter or search, it will be shown in the filter called ""Recommended for you"";Your saved Items list",26 - 35,Female
38,2022/12/26,Every Year,30 - 80,1,Prices and events;Product presentation (mainly pictures and videos);Site search function;Consumer reviews and scores,2,4,No direct visual stimulation (e.g. images),4,Poor layout design,4,4,5,4,3,2,Product information page,19 - 25,Male
39,2022/12/26,Every Season,30 - 80,2,Website Functionality Guidelines;Prices and events;Consumer reviews and scores;Logistics,4,2,Don't want to read the text (too much info);No direct visual stimulation (e.g. images);Poor layout design,3,Poor layout design,4,4,4,4,4,4,Homepage;Product information page,19 - 25,Female
40,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
41,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
42,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
43,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
44,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
45,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
46,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
47,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
48,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
49,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
50,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
51,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
52,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
53,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
54,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
55,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
56,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
57,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
58,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
59,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
60,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
61,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
62,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
63,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
64,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
65,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
66,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
67,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
68,2022/12/26,Every Month,30 - 80,4,Product presentation (mainly pictures and videos);Variety of payment options,4,5,No direct visual stimulation (e.g. images);Font design,4,Poor font design;Poor layout design,5,4,3,4,4,5,"My account page;Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Male
69,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
70,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
71,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
72,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
73,2022/12/26,Every Month,0 - 30,2,"Prices and events;After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,Your shopping basket;My account page,36 - 45,Male
74,2022/12/26,Only at sales,80 - 150,1,Variety of payment options;Logistics,3,4,Font design;Poor layout design,1,Poor font design;Lack of enough info,4,5,2,5,3,5,My account page;Your shopping basket;Product information page,Above 46,Male
75,2022/12/26,Only at sales,80 - 150,3,Logistics;Variety of payment options,3,1,I am fine with it,2,Lack of enough info;Poor font design,1,1,2,2,1,1,Your shopping basket;Homepage;Product information page,36 - 45,Male
76,2022/12/26,Every Week,80 - 150,2,Product presentation (text-based);Product presentation (mainly pictures and videos);Website Functionality Guidelines,2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,Homepage;Your saved Items list;My account page,Under 18,Male
77,2022/12/26,Every Year,Above 300,3,"Pre-sales service (contact the seller for product information, etc.);Product presentation (mainly pictures and videos)",2,5,No direct visual stimulation (e.g. images);Font design,5,Lack of enough info,4,4,3,4,5,4,Under each category's main page;Product information page;My account page,26 - 35,Male
78,2022/12/26,Every Week,80 - 150,2,"After-sales service (return and exchange service, etc.);Prices and events;Website page design",3,1,I am fine with it,1,Poor layout design;Lack of enough info,1,1,1,1,1,2,Product information page;Under each category's main page,19 - 25,Female
79,2022/12/26,Every Season,80 - 150,2,Website Functionality Guidelines;Consumer reviews and scores;Prices and events,3,4,I am fine with it,4,Poor layout design;Lack of enough info,4,4,2,4,5,5,Product information page;Your saved Items list,19 - 25,Male
80,2022/12/26,Every Year,150 - 300,3,Website page design;Consumer reviews and scores;Website Functionality Guidelines,4,3,Poor layout design,5,Lack of enough info,2,5,2,5,2,5,Under each category's main page;Your shopping basket,26 - 35,Male
81,2022/12/26,Every Year,150 - 300,1,"Pre-sales service (contact the seller for product information, etc.);Prices and events",5,5,No direct visual stimulation (e.g. images);Poor layout design;Font design,4,Poor font design;Lack of enough info,4,5,4,5,1,4,Product information page;Your shopping basket,19 - 25,Male
82,2022/12/26,Every Year,150 - 300,5,Website Functionality Guidelines;Product presentation (mainly pictures and videos);Variety of payment options,2,5,Font design;No direct visual stimulation (e.g. images),2,Lack of enough info,4,4,5,5,3,4,Homepage;My account page;Product information page,19 - 25,Male
83,2022/12/26,Every Week,30 - 80,1,"Site search function;Pre-sales service (contact the seller for product information, etc.);Product presentation (mainly pictures and videos)",2,4,I am fine with it,1,I am fine with it,1,2,3,2,1,1,Your shopping basket;Your saved Items list;Under each category's main page,26 - 35,Male
84,2022/12/26,Every Month,Above 300,5,Website Functionality Guidelines;Product presentation (mainly pictures and videos),5,5,I am fine with it,4,Lack of enough info,4,4,3,3,3,4,Under each category's main page;My account page;Your shopping basket,Above 46,Female
85,2022/12/26,Only at sales,Above 300,2,Website page design;Site search function;Variety of payment options,2,3,I am fine with it,2,Lack of enough info;Poor font design,4,2,2,2,3,3,My account page;Homepage,Above 46,Male
86,2022/12/26,Every Week,80 - 150,3,Website Functionality Guidelines;Consumer reviews and scores,1,1,No direct visual stimulation (e.g. images);Poor layout design,2,Poor font design;Lack of enough info,3,1,2,4,2,1,My account page;Product information page,Under 18,Male
87,2022/12/26,Every Week,150 - 300,5,"After-sales service (return and exchange service, etc.);Variety of payment options;Website page design",5,4,I am fine with it,1,Lack of enough info,3,5,2,4,3,4,Your shopping basket;Homepage;My account page,19 - 25,Female
88,2022/12/26,Every Week,80 - 150,3,Consumer reviews and scores;Website page design,1,2,Font design;No direct visual stimulation (e.g. images),2,Lack of enough info,2,2,3,2,4,1,Homepage;Your shopping basket;At check out,36 - 45,Female
89,2022/12/26,Every Year,150 - 300,3,Product presentation (text-based);Website Functionality Guidelines,5,5,No direct visual stimulation (e.g. images);Font design,4,I am fine with it,5,5,4,2,3,4,My account page;Under each category's main page,26 - 35,Male
90,2022/12/26,Every Month,30 - 80,4,"Product presentation (text-based);Pre-sales service (contact the seller for product information, etc.);Logistics",2,4,I am fine with it,1,Lack of enough info,5,5,5,4,3,5,"When you filter or search, it will be shown in the filter called ""Recommended for you"";Your shopping basket",26 - 35,Male
91,2022/12/26,Every Year,30 - 80,5,"After-sales service (return and exchange service, etc.);Product presentation (text-based);Website Functionality Guidelines",3,5,I am fine with it,5,Poor layout design;Lack of enough info,2,5,3,5,4,4,Under each category's main page;Homepage,26 - 35,Male
92,2022/12/26,Only at sales,30 - 80,4,"Site search function;Website page design;After-sales service (return and exchange service, etc.)",3,5,I am fine with it,3,I am fine with it,4,2,3,5,5,4,Under each category's main page;Your shopping basket;Product information page,Under 18,Male
93,2022/12/26,Every Month,150 - 300,4,Product presentation (mainly pictures and videos);Website page design;Prices and events,2,4,No direct visual stimulation (e.g. images);Poor layout design,1,I am fine with it,1,2,4,3,3,2,Homepage;Under each category's main page,Under 18,Male
94,2022/12/26,Every Year,80 - 150,4,Logistics;Website page design,1,4,Font design;No direct visual stimulation (e.g. images),5,I am fine with it,4,2,3,5,3,4,Homepage;Your shopping basket,Under 18,Male
95,2022/12/26,Every Season,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.);Website Functionality Guidelines",2,1,No direct visual stimulation (e.g. images),2,Poor font design;Lack of enough info,2,1,2,2,1,1,Under each category's main page;Your shopping basket;Homepage,26 - 35,Male
96,2022/12/26,Every Month,30 - 80,2,Prices and events;Consumer reviews and scores,1,4,I am fine with it,1,Poor font design;Lack of enough info,1,2,2,2,3,1,Your shopping basket;Product information page,19 - 25,Female
97,2022/12/26,Every Season,80 - 150,3,"Product presentation (text-based);Pre-sales service (contact the seller for product information, etc.);Website Functionality Guidelines",4,4,I am fine with it,4,Poor layout design;Lack of enough info,5,5,4,4,4,5,Your shopping basket;Product information page;Homepage,26 - 35,Male
98,2022/12/26,Every Week,30 - 80,2,"After-sales service (return and exchange service, etc.);Prices and events",3,3,I am fine with it,1,Lack of enough info;Poor layout design,1,4,2,2,3,1,Your shopping basket;Homepage;My account page,19 - 25,Male
99,2022/12/26,Every Month,30 - 80,4,Website page design;Consumer reviews and scores,2,1,I am fine with it,2,Poor layout design,3,1,4,1,1,2,Your shopping basket;Your saved Items list,Under 18,Male
100,2022/12/26,Every Week,0 - 30,4,"After-sales service (return and exchange service, etc.);Pre-sales service (contact the seller for product information, etc.)",1,1,I am fine with it,1,Lack of enough info,1,1,3,1,1,1,Under each category's main page;Your shopping basket,Above 46,Female
101,2022/12/26,Only at sales,30 - 80,3,"Website Functionality Guidelines;Pre-sales service (contact the seller for product information, etc.);Prices and events",2,4,Font design;No direct visual stimulation (e.g. images),5,Poor font design;Lack of enough info,4,2,4,5,3,4,My account page;Under each category's main page;Your shopping basket,26 - 35,Female
102,2022/12/26,Every Month,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.);Website page design;Site search function",2,4,I am fine with it,2,Lack of enough info,2,2,2,2,3,4,My account page;Under each category's main page;Your shopping basket,26 - 35,Male
103,2022/12/26,Every Month,0 - 30,2,"After-sales service (return and exchange service, etc.);Product presentation (text-based)",2,1,I am fine with it,1,Poor font design,4,1,4,2,2,2,Your shopping basket;Homepage,19 - 25,Male
104,2022/12/26,Every Year,80 - 150,4,"Website Functionality Guidelines;Pre-sales service (contact the seller for product information, etc.)",2,4,Font design,2,Poor layout design;Poor font design;Lack of enough info,4,4,5,5,4,5,Homepage;Under each category's main page,Under 18,Male
105,2022/12/26,Only at sales,0 - 30,4,Logistics;Website Functionality Guidelines,2,4,I am fine with it,2,Poor layout design;Lack of enough info,2,1,2,2,4,2,"Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you""",36 - 45,Female
106,2022/12/26,Every Month,150 - 300,4,Website Functionality Guidelines;Product presentation (mainly pictures and videos);Product presentation (text-based),3,2,No direct visual stimulation (e.g. images);Poor layout design,2,Lack of enough info,1,1,3,2,1,2,Homepage;My account page,36 - 45,Male
107,2022/12/26,Every Week,0 - 30,1,Website Functionality Guidelines;Site search function;Variety of payment options,3,1,I am fine with it,1,I am fine with it,2,3,2,1,2,1,Under each category's main page;Product information page;Homepage,36 - 45,Male
108,2022/12/26,Only at sales,30 - 80,2,"Prices and events;Pre-sales service (contact the seller for product information, etc.)",1,1,I am fine with it,1,Lack of enough info,4,1,2,2,3,4,Your shopping basket;Homepage,19 - 25,Male
109,2022/12/26,Every Month,0 - 30,1,Website page design;Product presentation (text-based);Logistics,2,1,Poor layout design;No direct visual stimulation (e.g. images),1,I am fine with it,3,1,2,2,1,2,My account page;Your shopping basket,Under 18,Female
110,2022/12/26,Every Month,30 - 80,2,"Logistics;Product presentation (mainly pictures and videos);Pre-sales service (contact the seller for product information, etc.)",2,1,Font design;No direct visual stimulation (e.g. images),4,Poor font design;Lack of enough info,4,2,3,2,3,1,Homepage;Your saved Items list,26 - 35,Male
111,2022/12/26,Every Year,30 - 80,4,Logistics;Product presentation (mainly pictures and videos);Consumer reviews and scores,5,3,I am fine with it,5,Lack of enough info,4,2,4,2,2,5,Under each category's main page;Product information page,19 - 25,Female
